id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
47365456,2020-05-25 8:47:00 PM PDT,2020-05-25,2020-05-26 03:47:00 UTC,Pacific Time (US & Canada),29091,birdwhisperer,2020-05-26 03:53:37 UTC,2020-05-26 15:55:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47365456,,https://static.inaturalist.org/sounds/96468.mp3?1590465221,"",,2,0,false,2,"Union, OR 97883, USA",45.2042361036,-117.8710494563,5,,open,false,gps,gps,American Robin,Turdus migratorius,American Robin,Aves,12727
47380771,Tue May 26 2020 05:20:53 GMT-0400 (EDT),2020-05-26,2020-05-26 09:20:53 UTC,Eastern Time (US & Canada),3026009,tony21113,2020-05-26 09:21:06 UTC,2020-06-10 18:20:20 UTC,research,,https://www.inaturalist.org/observations/47380771,https://static.inaturalist.org/photos/78010536/medium.jpg?1591813216,https://static.inaturalist.org/sounds/96548.mp3?1590484928,"",,2,0,false,3,Piney Orchard Nature Preserve,39.054583,-76.724222,65,,open,false,,,Turdus migratorius,Turdus migratorius,American Robin,Aves,12727
47383089,2020-05-26 5:05:00 AM CDT,2020-05-26,2020-05-26 10:05:00 UTC,Central Time (US & Canada),1397174,pobrito,2020-05-26 10:06:05 UTC,2020-05-26 10:09:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47383089,,https://static.inaturalist.org/sounds/96567.wav?1590487570,"",Bird call audio,1,0,false,2,"Elgin Township, IL, USA",42.0134289821,-88.3538106456,17,,open,false,gps,gps,American Robin,Turdus migratorius,American Robin,Aves,12727
47445676,2020-05-26 5:28:05 PM EDT,2020-05-26,2020-05-26 21:28:05 UTC,Eastern Time (US & Canada),2624878,karen_rucker,2020-05-26 21:28:53 UTC,2020-06-04 18:40:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47445676,,https://static.inaturalist.org/sounds/96914.wav?1590528543,"",,2,0,false,2,"Berea, KY 40403, USA",37.61773418,-84.22651811,9,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47453623,2020/05/19 6:58 PM -0400,2020-05-19,2020-05-19 21:58:00 UTC,Atlantic Time (Canada),2784303,eqiu20,2020-05-26 22:58:36 UTC,2020-05-27 16:40:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47453623,,https://static.inaturalist.org/sounds/96942.m4a?1590533902,"",,2,0,false,,"Andover, MA, USA",42.6174641588,-71.1207394639,1,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47489573,2020/05/27 4:48 AM EDT,2020-05-27,2020-05-27 08:48:00 UTC,Eastern Time (US & Canada),1387258,soulien,2020-05-27 08:55:18 UTC,2020-05-27 20:17:58 UTC,research,CC-BY,https://www.inaturalist.org/observations/47489573,,https://static.inaturalist.org/sounds/97145.m4a?1590569453,"",,1,0,false,,"West Ward, Easton, PA 18042, USA",40.688892035,-75.221396173,122,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47490637,Wed May 27 2020 05:16:18 GMT-0400 (EDT),2020-05-27,2020-05-27 09:16:18 UTC,Eastern Time (US & Canada),2597495,spinoza309,2020-05-27 09:15:49 UTC,2020-05-27 23:45:08 UTC,research,,https://www.inaturalist.org/observations/47490637,,https://static.inaturalist.org/sounds/97147.mp3?1590570942,"","",1,0,false,,"Ontario, CA",43.7693906104,-79.5323462366,65,obscured,open,true,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47504401,2020-05-27 9:09:56 AM EDT,2020-05-27,2020-05-27 13:09:56 UTC,Eastern Time (US & Canada),2724754,bkboy,2020-05-27 13:10:19 UTC,2020-05-27 17:14:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47504401,,https://static.inaturalist.org/sounds/97217.wav?1590585025,"",,2,0,false,2,"Curllsville, PA, USA",41.09740087,-79.43299033,20,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47591164,2020/05/27 7:49 PM PDT,2020-05-27,2020-05-28 02:49:00 UTC,Pacific Time (US & Canada),172086,ekoberle,2020-05-28 04:22:12 UTC,2020-06-03 14:46:26 UTC,research,,https://www.inaturalist.org/observations/47591164,,https://static.inaturalist.org/sounds/97653.m4a?1590639574,"",Perched in palm tree in residential area. A second individual can be heard responding in the distance.,1,0,false,,"Portola Springs, Irvine, CA, USA",33.6861269738,-117.7141582628,1,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47591601,2020-05-23 7:29:21 PM PDT,2020-05-23,2020-05-24 02:29:21 UTC,Pacific Time (US & Canada),65554,snickelfritz76,2020-05-28 04:31:40 UTC,2020-05-28 11:10:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47591601,,https://static.inaturalist.org/sounds/97654.wav?1590640308,"",,2,0,false,2,"Beresford Park, San Mateo, CA, USA",37.54675336,-122.3110022,9,,open,false,,,Merle d'Amérique,Turdus migratorius,American Robin,Aves,12727
