id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
42537885,2020/04/17 11:29 AM EDT,2020-04-17,2020-04-17 15:29:00 UTC,Eastern Time (US & Canada),5967,mikeburrell,2020-04-19 02:34:32 UTC,2020-04-19 08:49:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/42537885,,https://static.inaturalist.org/sounds/71566.wav?1587263393,"",,2,0,false,,"Peterborough County, ON, Canada",44.3404660022,-78.2483358415,15,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
42736106,2020-04-20 10:18:01 AM AKDT,2020-04-20,2020-04-20 18:18:01 UTC,Alaska,2772061,jeffnelson1,2020-04-21 06:17:39 UTC,2020-04-21 06:24:02 UTC,research,,https://www.inaturalist.org/observations/42736106,,https://static.inaturalist.org/sounds/72438.wav?1587449869,"",,1,0,false,2,"Anchorage County, US-AK, US",60.79016283,-148.81504857,6,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
42830351,2020-04-12 3:41:45 PM GMT+01:00,2020-04-12,2020-04-12 13:41:45 UTC,Amsterdam,81356,jonathancampbell,2020-04-22 09:24:00 UTC,2020-04-22 09:32:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/42830351,https://static.inaturalist.org/photos/68019023/medium.jpeg?1587547448,https://static.inaturalist.org/sounds/72868.wav?1587547474,"","Very large birds with thick heavy set beaks. I think they might be ravens, but I've been a very bad judge of this in the past...! Managed to record their call too, so hopefully that will help the ID!",1,0,false,2,"Langside Road, Glasgow G42 8DD, UK",55.8320130108,-4.2613605782,40,,open,false,gps,gps,Common Raven,Corvus corax,Common Raven,Aves,8010
42991957,2020-04-23 1:52:32 PM PDT,2020-04-23,2020-04-23 20:52:32 UTC,Pacific Time (US & Canada),744865,dharrington,2020-04-23 20:53:38 UTC,2020-04-30 20:21:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/42991957,https://static.inaturalist.org/photos/68562847/medium.jpeg?1587767798,https://static.inaturalist.org/sounds/73527.wav?1587675223,"",,1,0,false,2,"Ukiah, CA 95482, USA",39.1340350779,-123.2100300863,9,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
43493367,2020/04/25 1:57 PM HST,2020-04-25,2020-04-25 23:57:00 UTC,Hawaii,1836960,ehall1994,2020-04-26 00:00:02 UTC,2020-04-27 12:30:03 UTC,research,,https://www.inaturalist.org/observations/43493367,https://static.inaturalist.org/photos/69007679/medium.jpg?1587859509,https://static.inaturalist.org/sounds/75746.mp3?1587859055,"","",1,0,false,,"Maryland, US",39.2476365434,-76.914562719,51,,obscured,true,,,Common Raven,Corvus corax,Common Raven,Aves,8010
43500642,2020/04/25 10:50 AM EDT,2020-04-25,2020-04-25 14:50:00 UTC,Eastern Time (US & Canada),2631694,jeffersonshank,2020-04-26 00:34:25 UTC,2020-06-21 14:07:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43500642,,https://static.inaturalist.org/sounds/75788.mp3?1587861003,"",,2,0,false,,"Franklin County, PA, USA",39.9627550128,-77.50226684,487,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
43539956,2020/04/25 11:01 AM CDT,2020-04-25,2020-04-25 16:01:00 UTC,Central Time (US & Canada),443875,taniahomayoun,2020-04-26 04:09:23 UTC,2020-05-25 05:53:37 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/43539956,,https://static.inaturalist.org/sounds/75926.m4a?1587873545,"yard challenge, nearby nature","",1,0,false,,"Travis County, US-TX, US",30.2806100145,-97.9124193161,15,,obscured,true,,"",Common Raven,Corvus corax,Common Raven,Aves,8010
43621507,2020-04-26 12:30:00 PM GMT+02:00,2020-04-26,2020-04-26 10:30:00 UTC,Africa/Johannesburg,1153693,matyadam,2020-04-26 14:31:31 UTC,2020-04-26 16:04:07 UTC,research,CC0,https://www.inaturalist.org/observations/43621507,,https://static.inaturalist.org/sounds/76363.wav?1587911512,"",,1,0,false,2,"Mařatice 1797, 686 05 Uherské Hradiště, Česko",49.0737563035,17.4884574115,235,,open,false,gps,gps,Grand Corbeau,Corvus corax,Common Raven,Aves,8010
43688173,2020-04-25,2020-04-25,,American Samoa,1938167,ikskyrskobl,2020-04-26 18:32:39 UTC,2020-04-27 05:52:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43688173,,https://static.inaturalist.org/sounds/76785.m4a?1587925965,"",,1,0,false,2,"Курская обл., Россия, 307176",52.3346285883,35.3416141123,263,,open,false,gps,gps,Ворон,Corvus corax,Common Raven,Aves,8010
43718841,2020/04/26 9:26 AM CDT,2020-04-26,2020-04-26 14:26:00 UTC,Central Time (US & Canada),506797,tompat,2020-04-26 20:23:25 UTC,2020-04-26 21:12:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/43718841,https://static.inaturalist.org/photos/69344256/medium.jpg?1587932520,https://static.inaturalist.org/sounds/76969.mp3?1587932518,#yardchallenge,One of a pair that nests by Cibolo Creek; bad recording and photo.,1,0,false,,"Texas, US",29.6924174142,-98.7540479513,65,,obscured,true,,,Common Raven,Corvus corax,Common Raven,Aves,8010
